City;Temperature;Date;Hour;Log
Alicante;12;2024-01-21;20:34;21:34
Anchorage;-12;2024-01-21;10:34;21:34
Antalya;13;2024-01-21;21:35;21:34
Bari;11;2024-01-21;20:35;21:34
Bulawayo;17;2024-01-21;21:35;21:34
Capri;8;2024-01-21;20:35;21:34
Colombo;27;2024-01-22;01:05;21:34
Corfu;10;2024-01-21;21:35;21:34
Diabugu;31;2024-01-21;19:35;21:34
Dubai;22;2024-01-21;23:35;21:34
Hurgada;19;2024-01-21;21:35;21:34
Ipoh;24;2024-01-22;03:35;21:34
Lagos;13;2024-01-21;20:35;21:34
Lefkada;0;2024-01-21;21:35;21:34
Los Angeles;14;2024-01-21;11:35;21:34
Majunga;27;2024-01-21;21:35;21:34
Mayorka;7;2024-01-21;20:35;21:34
Menorka;7;2024-01-21;20:35;21:34
Miami;19;2024-01-21;14:36;21:34
Monaco;8;2024-01-21;20:36;21:34
Mount Hagen;16;2024-01-22;05:36;21:34
Nayba;-27;2024-01-22;04:36;21:34
Perth;19;2024-01-22;03:36;21:34
Ponce;28;2024-01-21;15:36;21:34
Santa Cruz de Tenerife;18;2024-01-21;19:36;21:34
Volos;7;2024-01-21;21:36;21:34
Zakynthos;12;2024-01-21;21:36;21:34
